No;Title
1473;Ada 15 danau yang kritis, salah satunya Danau Tempe di Bali. Eceng gondok di danau tersebut akan dibersihkan.
1474;kumparanBISNIS
1475;25 Maret 2018
1476;Kementerian PUPR: Limbah Busa BKT dari Laundry Hingga Pabrik Tempe
1477;Kementerian PUPR menyebut limbah busa di Banjir Kanal Timur (BKT) bukan berasal dari industri besar.
1478;kumparanBISNIS
1479;25 Maret 2018
1480;Ikuti Permintaan Jokowi, Jasa Marga Turunkan Tarif Tol Ngawi-Kertosono
1481;Tarif tol Ngawi-Kertosono direncanakan turun Rp 200 per km.
1482;kumparanBISNIS
1483;23 Maret 2018
1484;Golongan Tarif Tol Akan Disederhanakan dari 5 Menjadi 3
1485;Dalam penyederhanaan itu, golongan III, IV, dan V yang tidak lain ada truk bergandar digabung menjadi 1 golongan.
1486;kumparanBISNIS
1487;23 Maret 2018
1488;Saat Menteri PUPR Hibur Pegawainya dengan Lagu Sayang dan Jaran Goyang
1489;Menteri Basuki yang memimpin kerja bakti PNS Kementerian PUPR membawakan lagu sebagai hiburan.
1490;kumparanBISNIS
1491;23 Maret 2018
1492;PUPR Tunjuk Bank Asal Korea Ini Biayai 500 Rumah Murah
1493;Bank KEB Hana akan memberikan suku bunga fix 5% dengan jangka waktu kredit hingga 20 tahun.
1494;kumparanBISNIS
1495;23 Maret 2018
1496;Bapertarum PNS Dibubarkan, BP Tapera Ditargetkan Beroperasi di 2019
1497;Saat ini Panitia Seleksi tengah melakukan proses seleksi calon komisioner BP Tapera.
1498;kumparanBISNIS
1499;22 Maret 2018
1500;Baru Akan Dioperasikan, Tol Jasa Marga Hadapi Penurunan Tarif
1501;Karena ada penambahan masa konsesi, Jasa Marga yakin penurunan tarif tak akan mempengaruhi pengembalian investasi.
1502;kumparanBISNIS
1503;22 Maret 2018
1504;Tekan Tarif Tol, Pemerintah Berencana Perpanjang Masa Konsesi BUJT
1505;Hak kelola Badan Usaha Jalan Tol rencananya akan diperpanjang untuk menurunkan tarif tol.
1506;kumparanBISNIS
1507;21 Maret 2018
1508;DPR Minta BUMN Konstruksi Tak Garap Proyek di Bawah Rp 100 Miliar
1509;Pada 2018, ada 2.064 paket proyek kecil bernilai hingga Rp 2,5 miliar.
1510;kumparanBISNIS
1511;21 Maret 2018
1512;Cara Kementerian PUPR Agar Rumah Murah Berkualitas Baik
1513;Kementerian PUPR menargetkan dapat membangun 42.326 rumah bagi Masyarakat Berpenghasilan Rendah (MBR).
1514;kumparanBISNIS
1515;21 Maret 2018
1516;Kementerian PUPR Akan Percepat Pembangunan 11 Kota Mandiri Baru
1517;Yang sudah kelihatan pembangunannya yaitu Kota Baru Maja di Banten.
1518;kumparanBISNIS
1519;19 Maret 2018
1520;PUPR Siap Bentuk Satgas Pengawasan Pembangunan Perumahan Tahun Ini
1521;Tugas dibentuknya tim satgas ini adalah untuk menekan penipuan di sektor perumahan khususnya rumah murah.
1522;kumparanBISNIS
1523;17 Maret 2018
1524;BPK Siap Audit Proyek Infrastruktur yang Alami Kecelakaan Konstruksi
1525;BPK siap saja melakukan audit jika pemerintah meminta.
1526;kumparanBISNIS
1527;15 Maret 2018
1528;Siapkan Tenaga Konstruksi Bersertifikat, Pemerintah Jemput Bola ke SMK
1529;Kementerian PUPR membina siswa SMK agar dapat menjadi tenaga kerja bidang konstruksi sesuai dengan kebutuhan industri.
1530;kumparanBISNIS
1531;15 Maret 2018
1532;215 KK Masih Belum Serahkan Lahannya untuk Proyek Sodetan Ciliwung
1533;Saat ini, pembebasan lahan masih terhambat.
1534;kumparanBISNIS
1535;13 Maret 2018
1536;Kementerian PUPR Mulai Garap 3 Proyek Bendungan yang Sempat Tertunda
1537;3 proyek bendungan ini sebelumnya tidak dilirik investor.
1538;kumparanBISNIS
1539;13 Maret 2018
1540;Buntut Kecelakaan, Kementerian PUPR Minta Direksi Waskita Dirombak
1541;Kementerian PUPR berpendapat perlu ada direktur bagian pengawasan konstruksi.
1542;kumparanBISNIS
1543;13 Maret 2018
1544;SMKN 5 Banjarmasin Percontohan Link and Match Bidang Kontruksi
1545;banjarhits.id
1546;13 Maret 2018
1547;Sandi Bertemu Menteri PUPR Bahas Masalah Air hingga Perumahan
1548;Mereka membicarakan percepatan pembangunan di Jakarta hingga masalah penurunan permukaan tanah.
1549;kumparanNEWS
1550;13 Maret 2018
1551;RI Tawarkan Proyek Irigasi untuk Didanai Bank Infrastruktur Asia
1552;Asian Investment Infrastructur Bank (AIIB) telah menyalurkan pendanaan USD 441 juta untuk 3 proyek pada 2016-2017.
1553;kumparanBISNIS
1554;12 Maret 2018
1555;Menteri PUPR: Tak Ada Korupsi di Ambruknya Penyangga Tol Becakayu
1556;Basuki Hadimuljono menegaskan kecelakaan terjadi akibat minimnya pengawasan kerja di lapangan.
1557;kumparanBISNIS
1558;12 Maret 2018
1559;PUPR Dorong Pembangunan 8 Proyek Infrastruktur Dibiayai Swasta
1560;Proyek yang akan ditawarkan ke swasta antara lain proyek jalan tol Sukabumi-Ciranjang dan tol Yogyakarta-Bawen
1561;kumparanBISNIS
1562;12 Maret 2018
1563;KNKT Dilibatkan Selidiki Kecelakaan Kerja Infrastruktur Transportasi
1564;Jika terdapat kesalahan metode pengerjaan, KNKT mengeluarkan rekomendasi kepada KKK untuk diteruskan ke kontraktor.
1565;kumparanBISNIS
1566;9 Maret 2018
1567;Mudik Jakarta-Surabaya Tahun Ini Bisa Non Stop Lewat Tol
1568;Dengan begitu para pemudik bisa lebih cepat sampai ke kampung halaman tujuan.
1569;kumparanBISNIS
1570;9 Maret 2018
1571;Menteri Permukiman Era Megawati Tutup Usia
1572;Menteri Permukiman dan Prasarana Wilayah periode 2001-2004, Soenarno, tutup usia.
1573;kumparanBISNIS
1574;6 Maret 2018
1575;Jokowi Perintahkan Menteri PUPR Bangun Rumah untuk Eks Anggota OPM
1576;Pembangunan rumah untuk eks anggota OPM akan masuk dalam program rumah khusus di Kementerian PUPR.
1577;kumparanBISNIS
1578;5 Maret 2018
1579;Melihat Flyover Laluan Madani Batam di Kala Malam
1580;Ada unsur artistik budaya lokal dalam desain Flyover Laluan Madani.
1581;kumparanBISNIS
1582;4 Maret 2018
1583;Flyover Madani Diklaim Bisa Atasi Kemacetan di Kota Batam
1584;Kementerian PUPR juga akan membangun flyover di Simpang Kabil Kota Batam pada 2019.
1585;kumparanBISNIS
1586;4 Maret 2018
1587;Kontraktor Wajib Awasi Sub Kontraktor Saat Bangun Infrastruktur
1588;Cara ini dilakukan untuk menekan angka kecelakaan kerja yang sekarang ini banyak terjadi di proyek infrastruktur.
1589;kumparanBISNIS
1590;3 Maret 2018
1591;Bangun 5 Rusun Mahasiswa, PUPR Siapkan Rp 186,98 M
1592;Biaya sewa rusun yang dibebankan ke mahasiswa, dipastikan di bawah harga indekos di sekitar kampus.
1593;kumparanBISNIS
1594;3 Maret 2018
1595;PUPR Akan Awasi Langsung Proyek Tol Jakarta-Cikampek II Elevated
1596;Proyek ini merupakan proyek infrastruktur yang memiliki risiko tinggi terjadi kecelakaan konstruksi.
1597;kumparanBISNIS
1598;1 Maret 2018
1599;Menteri PUPR Masih Hentikan Proyek Tol Becakayu
1600;Menteri PUPR Basuki Hadimuljono beralasan metode kerja Tol Becakayu belum sesuai dengan hasil evaluasi.
1601;kumparanBISNIS
1602;1 Maret 2018
1603;Tekan Jumlah Kecelakaan Kerja, PUPR Latih Pengawas Proyek Konstruksi
1604;Pelatihan itu diperuntukkan bagi Sumber Daya Manusia (SDM) konsultan di proyek infrastruktur yang didanai oleh APBN.
1605;kumparanBISNIS
1606;1 Maret 2018
1607;Saat Jaksa Agung Ajak Menteri PUPR Duet Bawakan Sejumlah Lagu
1608;Menteri PUPR Basuki Hadimuljono tetap menjadi seorang drummer andal saat duet dengan HM Prasetyo.
1609;kumparanBISNIS
1610;1 Maret 2018
1611;Tekan Korupsi, Peran Kejagung Dilibatkan di Proyek Infrastruktur RI
1612;Selain upaya mencegah praktik korupsi, kerja sama ini juga dilakukan untuk mempercepat proyek pembangunan infrastruktur.
1613;kumparanBISNIS
1614;1 Maret 2018
1615;Kementerian PUPR Tawarkan Skema KPBU untuk Pemeliharaan Jalan Nasional
1616;Skema KPBU untuk pemeliharaan jalan akan diuji coba di jalan nasional Provinsi Riau dan Provinsi Sumatera Selatan.
1617;kumparanBISNIS
1618;1 Maret 2018
1619;Lolos Evaluasi PUPR, Proyek LRT Jakarta dan Jabodebek Kembali Jalan
1620;Proyek kereta api lain yang lolos evaluasi adalah LRT Palembang dan DDT jalur kereta api Manggarai-Jatinegara.
1621;kumparanBISNIS
1622;28 Februari 2018
1623;Lolos Evaluasi, Proyek Layang Tol Becakayu Dilanjutkan Kembali
1624;Selain Tol Becakayu, Komite Keselamatan Konstruksi juga mengizinkan pengerjaan 37 proyek layang lain untuk dlanjutkan.
1625;kumparanBISNIS
1626;28 Februari 2018
1627;Jalan Trans Papua Barat Sepanjang 1.070 Km Tersambung
1628;Alokasi dana untuk penanganan jalan Trans Papua Barat pada tahun ini mencapai Rp 950 miliar.
1629;kumparanBISNIS
1630;28 Februari 2018
1631;34 Proyek Infrastruktur Layang Boleh Dilanjutkan, Berikut Daftarnya
1632;Sebelumnya pada Selasa (20/2), 37 proyek infrastruktur layang dihentikan untuk dievaluasi.
1633;kumparanBISNIS
1634;27 Februari 2018
1635;Pemerintah Anggarkan Rp 22 Triliun untuk Perbaiki Jaringan Irigasi
1636;45% seluruh irigasi di Indonesia perlu direhabilitasi.
1637;kumparanBISNIS
1638;27 Februari 2018
1639;Menengok Fasilitas Serba Lengkap di Wisma Atlet Kemayoran
1640;Apa saja fasilitas yang dibangun Kementerian PUPR di Wisma Atlet Kemayoran?
1641;kumparanBISNIS
1642;26 Februari 2018
1643;Wisma Atlet Kemayoran Diprioritaskan untuk Warga Permukiman Kumuh
1644;Setelah gelaran Asian Games XVIII berakhir, Wisma Atlet Kemayoran akan diprioritaskan untuk hunian warga tidak mampu.
1645;kumparanBISNIS
1646;26 Februari 2018
1647;Kementerian PUPR Akan Wajibkan Infrastruktur RI Tahan Gempa
1648;Kementerian sedang menggodok aturan yang mengharuskan bangunan infrastruktur di Indonesia tahan gempa dan iklim buruk.
1649;kumparanBISNIS
1650;26 Februari 2018
1651;Moratorium Proyek Infrastruktur Bisa Berdampak Buruk pada Investasi
1652;Proses pembangunan diberhentikan sementara bisa berpengaruh terhadap investasi yang sudah berlangsung.
1653;kumparanNEWS
1654;24 Februari 2018
1655;'Pemerintah Seperti Kejar Tayang dalam Pembangunan Infrastruktur'
1656;SDM yang terbatas dipaksa menyelesaikan pembangunan dalam volume besar namun hanya dalam waktu yang singkat.
1657;kumparanNEWS
1658;24 Februari 2018
1659;Tim Ahli PUPR: Insiden di Becakayu Akibat Kegagalan Kerja
1660;Diduga PT Waskita Karya tidak memberlakukan shift bagi pekerja.
1661;kumparanNEWS
1662;24 Februari 2018
1663;Proyek Tol Soekarno Hatta-Gedebage Bandung Jadi Prioritas di 2019
1664;Tol Soekarno Hatta-Gedebage merupakan bagian dari Tol Dalam Kota Bandung dengan total panjang 27 km.
1665;kumparanBISNIS
1666;23 Februari 2018
1667;Kontribusi Utang Syariah Negara Bangun Infrastruktur Terus Naik
1668;Pendanaan infrastruktur yang menggunakan SBSN dimulai sejak tahun 2015 dan kontribusinya terus naik setiap tahunnya.
1669;kumparanBISNIS
1670;23 Februari 2018
1671;Direksi Waskita Karya yang Pasrah Siap Dievaluasi dan Didepak
1672;Penyebabnya karena peristiwa tiang girder yang ambruk pada proyek Tol Becakayu pada Selasa (20/2).
1673;kumparanBISNIS
1674;22 Februari 2018
1675;Kementerian PUPR: Pengerjaan 36 Proyek Melayang Dihentikan Sementara
1676;Di mana saja 36 proyek infrastruktur melayang yang dihentikan sementara?
1677;kumparanBISNIS
1678;22 Februari 2018
1679;Kementerian PUPR Bedah 4.100 Rumah di 9 Kawasan Wisata
1680;Di tahun sebelumnya, program bedah rumah dilakukan di 5 kawasan wisata.
1681;kumparanBISNIS
1682;22 Februari 2018
1683;Kementerian PUPR Perketat Pengawasan Pembangunan Infrastruktur
1684;Komite Keselamatan Konstruksi akan melakukan pengawasan ketat terhadap proyek-proyek infrastruktur.
1685;kumparanBISNIS
1686;21 Februari 2018
1687;Kontraktor Boleh Bangun Konstruksi Melayang Asal Penuhi Syarat Ini
1688;Apa saja syarat yang harus dipenuhi oleh kontraktor?
1689;kumparanBISNIS
1690;21 Februari 2018
1691;Material Konstruksi Hingga Kelaikan Alat Kerja Kontraktor Akan Diaudit
1692;Audit akan dilakukan oleh Tim Evaluasi Kecelakaan Konstruksi bentukan Kementerian Pekerjaan Umum dan Perumahan Rakyat.
1693;kumparanBISNIS
1694;21 Februari 2018
1695;Pekerja Konstruksi Layang Dialihkan Garap Konstruksi Minim Risiko
1696;Hal ini karena seluruh proyek infrastruktur yang dibangun melayang atau elevated diberlakukan moratorium.
1697;kumparanBISNIS
1698;21 Februari 2018
1699;Sepinya Proyek Tol Becakayu yang Kena Moratorium
1700;Tak ada pekerja yang menggarap konstruksi infrastruktur elevated tol, hanya terlihat petugas Health Safety Environment.
1701;kumparanBISNIS
1702;21 Februari 2018
1703;Kecelakaan Kerja Marak, Indonesia Belum Punya PP Pengawasan Konstruksi
1704;Sudah setahun berlaku, UU No. 2 Tahun 2017 tentang Jasa Konstruksi belum dilengkapi Peraturan Pemerintah (PP).
1705;kumparanBISNIS
1706;21 Februari 2018
1707;Pengerjaan Proyek LRT Jakarta dan Palembang Dihentikan Sementara
1708;Hanya saja untuk proyek LRT Jakarta, LRT Palembang, dan MRT Jakarta akan mendapatkan prioritas oleh pemerintah.
1709;kumparanBISNIS
1710;20 Februari 2018
1711;Kementerian PUPR Serap APBN 2018 Terbesar yakni Rp 20,7 Triliun
1712;Penyerapan anggaran sebesar itu setara 27,4% dari total alokasi Rp 75,8 triliun.
1713;kumparanBISNIS
1714;20 Februari 2018
1715;Pemerintah Resmi Hentikan Sementara Seluruh Pengerjaan Proyek Elevated
1716;Pemerintah akan melakukan evaluasi secara menyeluruh terhadap semua proyek infrastruktur.
1717;kumparanBISNIS
1718;20 Februari 2018
1719;KCIC Yakin Proyek Kereta Cepat Tak Kena Moratorium PUPR
1720;KCIC yakin pembangunan proyek kereta cepat Jakarta-Bandung tak akan kena moratorium pengerjaan infrastruktur elevated
1721;kumparanBISNIS
1722;20 Februari 2018
1723;PUPR Moratorium Pengerjaan Proyek Elevated, Bagaimana Nasib MRT?
1724;Rute MRT Jakarta yang melayang (elevated) adalah dari Lebak Bulus - Blok M sepanjang 9,2 km.
1725;kumparanBISNIS
1726;20 Februari 2018
1727;REI Minta Diperlakukan Sama dengan BUMN untuk Garap 1 Juta Rumah
1728;Kementerian PUPR menggandeng REI untuk menggarap program 1 juta rumah.
1729;kumparanBISNIS
1730;19 Februari 2018
1731;Menteri PUPR: Saya Dendam Gagal Jadi Mahasiswa ITB
1732;Menteri PUPR Basuki mengaku dua kali ditolak jadi mahasiswa ITB.
1733;kumparanBISNIS
1734;19 Februari 2018
1735;Badan Pengelola Tabungan Perumahan Rakyat Akan Terbentuk Bulan Depan
1736;Saat ini pembentukan BP Tapera masih menunggu Peraturan Presiden terbit.
1737;kumparanBISNIS
1738;19 Februari 2018
1739;Tahun Ini Kementerian PUPR Targetkan Bangun 906 Ribu Unit Rumah
1740;Masalah perizinan masih menjadi kendala untuk merealisasikan pembangunan satu juta unit rumah.
1741;kumparanBISNIS
1742;19 Februari 2018
1743;Tahun Ini Kementerian PUPR Targetkan Bangun 906 Ribu Unit Rumah
1744;Masalah perizinan masih menjadi kendala untuk merealisasikan pembangunan satu juta unit rumah.
1745;kumparanBISNIS
1746;19 Februari 2018
1747;Duka Basuki Saat Tinjau Kerusakan Stadion GBK
1748;Sejumlah bagian di Stadion GBK rusak usai final Piala Presiden, padahal stadion ini baru diperbaiki untuk Asian Games.
1749;kumparanBISNIS
1750;19 Februari 2018
1751;Menteri PUPR Sedih Lihat Stadion Utama GBK Rusak
1752;Akibat ulah suporter, bagian akrilik SUGBK dan 80% areal taman di sekitar SUGBK rusak parah.
1753;kumparanBISNIS
1754;19 Februari 2018
1755;Menteri PUPR: Perbaikan Stadion Utama GBK Tak Lebih dari Rp 150 Juta
1756;Kementerian PUPR memastikan perbaikan SUGBK hanya memakan waktu kurang dari dua minggu.
1757;kumparanBISNIS
1758;19 Februari 2018
1759;Dukung Kemayoran Jadi Kota Mandiri, Wisma Atlet Akan Disewakan ke MBR
1760;MBR adalah Masyarakat Berpenghasilan Rendah.
1761;kumparanBISNIS
1762;17 Februari 2018
1763;Alasan Pemerintah Tetapkan Kemayoran Jadi Kawasan Kota Mandiri Baru
1764;Apa alasan Kementerian PUPR menetapkan Kemayoran sebagai kawasan kota mandiri baru?
1765;kumparanBISNIS
1766;17 Februari 2018
1767;Menimbang Layak Tidaknya Kemayoran yang Akan Jadi Kawasan Kota Mandiri
1768;Pertimbangannya adalah Kemayoran masih berada di dalam Provinsi DKI Jakarta dan disebut-sebut sebagai kawasan elite.
1769;kumparanBISNIS
1770;17 Februari 2018
1771;Arab Saudi dan China Tertarik Garap Kota Mandiri Baru di Kemayoran
1772;Skema yang bisa digunakan adalah KPBU atau mendorong swasta yang memiliki tanah untuk membangun hunian.
1773;kumparanBISNIS
1774;17 Februari 2018
1775;Kemayoran Masuk Daftar Kawasan yang Akan Dibangun Kota Mandiri Baru
1776;Kemayoran sudah diusulkan akan dibangun menjadi kota mandiri baru pada tahun 2015.
1777;kumparanBISNIS
1778;17 Februari 2018
1779;PUPR dan Kementerian ATR Akan Bentuk Tim Penyediaan Tanah Rumah Murah
1780;Cara ini untuk untuk melakukan pencadangan tanah guna membangun perumahan bagi Masyarakat Berpenghasilan Rendah (MBR).
1781;kumparanBISNIS
1782;17 Februari 2018
1783;Tahun Depan, PUPR Berencana Garap Jalan Perbatasan di 8 Kabupaten
1784;Untuk tahun ini ada 10 jalan perbatasan negara yang akan digarap Kementerian PUPR.
1785;kumparanBISNIS
1786;16 Februari 2018
1787;Presiden : Program Padat Tunai Bermanfaat Untuk Masyarakat Desa
1788;Ambonnesia
1789;14 Februari 2018
1790;Kementerian PUPR Dukung Pembangunan Rusunawa di Kota Baru Maja
1791;Kementerian PUPR masih terus menyusun masterplan untuk berbagai pembangunan di Kota Baru Maja.
1792;kumparanBISNIS
1793;14 Februari 2018
1794;PUPR Targetkan Akses Aman Air Minum untuk Masyarakat Tercapai di 2019
1795;Hingga akhir 2017, akses aman air minum baru mencapai 72,04%.
1796;kumparanBISNIS
1797;12 Februari 2018
1798;Ditegur PUPR, Waskita Libatkan Tim Ahli Garap Proyek Infrastruktur
1799;Kementerian PUPR layangkan surat teguran untuk Waskita Karya terkait kecelakaan kerja 5 proyek yang digarap perusahaan.
1800;kumparanBISNIS
1801;9 Februari 2018
1802;PUPR Usul Pakai Skema Availability Payment untuk Bangun Trans Papua
1803;Dalam skema ini pemerintah akan melakukan angsuran kepada badan usaha yang membangun proyek infrastruktur.
1804;kumparanBISNIS
1805;9 Februari 2018
1806;7,38 Juta Pekerja Konstruksi Tak Bersertifikat, Mayoritas Lulusan SMA
1807;Jumlah pekerja konstruksi yang tak bersertifikat tercatat sekitar 7,38 juta tenaga kerja dari total 8,10 juta pekerja.
1808;kumparanBISNIS
1809;9 Februari 2018
1810;PUPR Kebut Bangun Tol Balikpapan-Samarinda, Dana Rp 150 M Disiapkan
1811;Tol Balikpapan-Samarinda akan menjadi jalan tol pertama di Pulau Kalimantan dan ditargetkan selesai akhir tahun 2018.
1812;kumparanBISNIS
1813;9 Februari 2018
1814;Hujan Lebat, Jokowi Tinjau Pembangunan Irigasi di Sumatera Barat
1815;Irigasi di Tanah Datar, Sumatera Barat, tersebut merupakan bagian dari program padat karya Kementerian PUPR.
1816;kumparanNEWS
1817;9 Februari 2018
1818;Atasi Gizi Buruk di Asmat, PUPR Perbaiki Infrastruktur
1819;Kabupaten Asmat terdiri dari 23 distrik yang sebagian besar lahannya merupakan tanah rawa.
1820;kumparanBISNIS
1821;8 Februari 2018
1822;PUPR Siapkan Rp 212 Miliar untuk Bangun Jalan ke 3 Bandara
1823;Akses menuju Bandara Kertajati, Sibisa Toba Samosir, dan Sultan Thaha perlu diperbarui.
1824;kumparanBISNIS
1825;8 Februari 2018
1826;Siapkan Rp 686 Miliar, PUPR Percantik Kepulauan Seribu hingga Wakatobi
1827;Pembangunan infrastruktur yang akan dilakukan yakni menyediakan ruang terbuka untuk publik hingga kelaikan akses jalan.
1828;kumparanBISNIS
1829;7 Februari 2018
1830;Kementerian PUPR Sediakan Rp 50 M untuk Revitalisasi Gedung Pusaka
1831;Bangunan Keraton dan Istana Presiden dikategorikan sebagai gedung pusaka.
1832;kumparanBISNIS
1833;6 Februari 2018
1834;Atasi Stunting, PUPR Siapkan Anggaran Rp 50 M
1835;Stunting adalah gangguan pertumbuhan sehingga menyebabkan tinggi badan lebih pendek ketimbang anak-anak lain seusianya.
1836;kumparanBISNIS
1837;6 Februari 2018
1838;PUPR Targetkan Ada 3 Kota Mandiri Baru yang Dibangun Tahun Ini
1839;Salah satu prioritas kota mandiri baru yang akan dibangun tahun ini ada di Padang, Sumatera Barat.
1840;kumparanBISNIS
1841;5 Februari 2018
1842;PUPR Akan Keluarkan Regulasi Baru Standar Pembangunan Rumah Subsidi
1843;Permen itu ditargetkan terbit pada tahun ini atas keluhan kualitas rumah murah yang tidak baik.
1844;kumparanBISNIS
1845;3 Februari 2018
1846;15 Proyek Irigasi dan Rawa di 2018 akan Dibiayai Surat Utang Syariah
1847;Penggunaan SBSN untuk membiayai 15 paket pekerjaan tersebut dilakukan agar proses pembangunan infrastruktur rampung.
1848;kumparanBISNIS
1849;3 Februari 2018
1850;33 Ruas Tol Sepanjang 615 Km Ditargetkan Beroperasi Tahun Ini
1851;Rinciannya adalah 69 km didanai oleh APBN sementara 546 km sisanya didanai dari non APBN.
1852;kumparanBISNIS
1853;29 Januari 2018
1854;Investor Korsel dan China Berminat Biayai Bendungan Jambo Aye di Aceh
1855;Bendungan Jambo Aye di Aceh memiliki potensi menghasilkan listrik sebesar 106 Mega Watt (MW).
1856;kumparanBISNIS
1857;29 Januari 2018
1858;Februari 2018, Komisi Keselamatan Bangunan Gedung Akan Diresmikan
1859;Tugas dari KKBG adalah melakukan investigasi bangunan gedung, inventarisasi, pemantauan, dan pertimbangan teknis.
1860;kumparanBISNIS
1861;29 Januari 2018
1862;Kementerian PUPR Canangkan Gerakan Nasional Keselamatan Konstruksi
1863;Pencanangan GNKK dilakukan karena Kementerian PUPR sebagai pengguna jasa konstruksi terbesar ingin menjaga keselamatan.
1864;kumparanBISNIS
1865;29 Januari 2018
1866;Kementerian PUPR Targetkan Garap 10 Jalan Perbatasan RI Tahun Ini
1867;Anggaran yang disiapkan untuk membangun 10 jalan perbatasan RI mencapai Rp 1,65 triliun.
1868;kumparanBISNIS
1869;29 Januari 2018
1870;Bikin Rancangan Rumah Tahan Gempa, PUPR Anggarkan Rp 730 Juta
1871;Rancangan ini akan digunakan sebagai acuan dalam pembuatan prototipe rumah tahan gempa yang akan diadopsi masyarakat.
1872;kumparanBISNIS
1873;26 Januari 2018
1874;10 Venue Asian Games 2018 Siap Diresmikan Presiden
1875;Kementerian PUPR mengklaim seluruh fasilitas Asian Games sesuai standar internasional.
1876;kumparanBISNIS
1877;26 Januari 2018
1878;Cegah Kecelakaan Kerja, 2 Unit Keselamatan Bangunan Bakal Diresmikan
1879;Dua unit keselamatan bangunan dibentuk untuk menekan angka kecelakaan kerja.
1880;kumparanBISNIS
1881;26 Januari 2018
1882;Bangun Infrastruktur RI, Menteri PUPR Minta Pertimbangan BMKG
1883;BMKG akan bertugas memberi pertimbangan kepada PUPR mengenai bencana seperti gempa, banjir, angin siklon, dan lainnya.
1884;kumparanBISNIS
1885;26 Januari 2018
1886;Di Depan Projo, Menteri PUPR Jelaskan Proyek Infrastruktur Jokowi
1887;Menteri PUPR mengatakan pembangunan infrastruktur merupakan cara memperbaiki daya saing dan pemerataan.
1888;kumparanBISNIS
1889;25 Januari 2018
1890;Pembangunan Jembatan Musi IV Ditargetkan Selesai Juli 2018
1891;Progres pembangunan Jembatan Musi IV sudah 70,82%. Bisa beroperasi sebelum Asian Games XVIII 2018.
1892;kumparanBISNIS
1893;24 Januari 2018
1894;Perbaikan Jalan di Kawasan Candi Borobudur Pakai Aspal Campur Plastik
1895;Perbaikan jalan di sekitar Candi Borobudur dengan menggunakan aspal campur plastik akan dikerjakan pada tahun ini.
1896;kumparanBISNIS
1897;24 Januari 2018
1898;Bank Artha Graha Jadi Penyalur KPR Subsidi Terbanyak Tahun Ini
1899;Bank Artha Graha tahun ini akan menyalurkan KPR FLPP untuk 10.000 rumah murah.
1900;kumparanBISNIS
1901;23 Januari 2018
1902;Siapkan Anggaran Rp 6 T, PUPR Fokus Tangani Banjir di 21 Kota Besar
1903;Penanganan banjir di 21 kota besar se-Indonesia diperlukan karena dapat berdampak negatif terhadap perekonomian.
1904;kumparanBISNIS
1905;23 Januari 2018
1906;Kementerian PUPR Akan Uji Coba Aspal Karet di Sumatera Selatan
1907;Rencananya, uji coba aspal dicampur karet di Sumatera Selatan mencapai 10 kilometer.
1908;kumparanBISNIS
1909;22 Januari 2018
1910;PUPR Bangun 5 Bendungan di Jawa Barat Tahun Ini
1911;Adapun 5 bendungan itu ialah Bendungan Ciawi, Sukamahi, Kuningan, Leuwikeris, dan Cipanas.
1912;kumparanBISNIS
1913;16 Januari 2018
1914;Kementerian PUPR Ikut Meneliti Penyebab Robohnya Balkon Gedung BEI
1915;Akibat insiden ini, puluhan orang menjadi korban dan dibawa ke beberapa rumah sakit untuk mendapatkan pertolongan.
1916;kumparanBISNIS
1917;16 Januari 2018
1918;Kementerian PUPR: BUMN Diimbau Tak Garap Proyek di Bawah Rp 100 Miliar
1919;Ini merupakan bagian dari rencana revisi Peraturan Menteri PUPR Nomor 31 tahun 2015.
1920;kumparanBISNIS
1921;15 Januari 2018
1922;Menteri PUPR: Gedung DPR Sudah Tidak Nyaman
1923;Kementerian PUPR telah melakukan evaluasi dan survei terkait kondisi gedung DPR yang dinilai miring 7 derajat.
1924;kumparanNEWS
1925;12 Januari 2018
1926;Bank Pembangunan Daerah Paling Banyak Salurkan KPR FLPP di 2017
1927;Adapun jumlah KPR FLPP yang disalurkan melalui 24 BPD sebanyak 10.238 unit dari 23.763 rumah murah selama 2017.
1928;kumparanBISNIS
1929;10 Januari 2018
1930;Penyaluran KPR FLPP di 2017 Terendah dalam 3 Tahun Terakhir
1931;Realisasi KPR FLPP di tahun 2017 hanya Rp 3,1 triliun untuk 23.763 rumah murah.
1932;kumparanBISNIS
1933;10 Januari 2018
1934;Targetkan Bangun 11 Bendungan, PUPR Cari Dana Pembebasan Lahan
1935;Kebutuhan dana talangan tahun ini untuk pembebasan lahan proyek bendungan sebesar Rp 13,23 triliun.
1936;kumparanBISNIS
1937;10 Januari 2018
1938;Diresmikan Jokowi, Bendungan Raknamo Tampung 14 Juta Meter Kubik Air
1939;Selain itu, Jokowi juga memuji Kementerian PUPR yang bisa dengan cepat menyelesaikan pembangunan bendungan ini.
1940;kumparanNEWS
1941;9 Januari 2018
1942;718.000 Rumah Tak Layak Huni, Anggaran Hanya Cukup untuk Seperempatnya
1943;Anggaran yang ada yakni dari APBN Rp 3,2 triliun dan pinjaman dari Bank Dunia sebesar Rp 240 miliar.
1944;kumparanBISNIS
1945;9 Januari 2018
1946;PUPR Teken 2 Kontrak Pembangunan Jalan dan Jembatan di Trans Papua
1947;Dua kontrak berupa pekerjaan konstruksi dan dua pekerjaan pengawasan senilai Rp 199,48 miliar.
1948;kumparanBISNIS
1949;7 Januari 2018
