,newsdesc,newstitle,titledesc
165,Saat ini Kementerian PUPR tengah mengevaluasi seluruh proyek pembangunan infastruktur yang dilakukan oleh para kontraktor.,PUPR Duga 7 Korban Proyek Becakayu Tak Punya Keahlian Konstruksi,Saat ini Kementerian PUPR tengah mengevaluasi seluruh proyek pembangunan infastruktur yang dilakukan oleh para kontraktor. PUPR Duga 7 Korban Proyek Becakayu Tak Punya Keahlian Konstruksi
166,Fasilitas ini memakan biaya Rp15 miliar.,"Pertama Kali, Kementerian PUPR Bangun Rusun Lansia di Cibubur","Fasilitas ini memakan biaya Rp15 miliar. Pertama Kali, Kementerian PUPR Bangun Rusun Lansia di Cibubur"
167,Program Sejuta Rumah merupakan program yang digagas Presiden Joko Widodo.,"Rusunawa Lansia, Upaya Kementerian PUPR Kejar Target Sejuta Rumah","Program Sejuta Rumah merupakan program yang digagas Presiden Joko Widodo. Rusunawa Lansia, Upaya Kementerian PUPR Kejar Target Sejuta Rumah"
168,Waskita Karya meminta maaf atas kejadian sampai memakan 7 korban luka - luka atas kejadian tersebut.,"Nasib Proyek Jalan Tol Becakayu, Waskita Karya Pasrah pada PUPR","Waskita Karya meminta maaf atas kejadian sampai memakan 7 korban luka - luka atas kejadian tersebut. Nasib Proyek Jalan Tol Becakayu, Waskita Karya Pasrah pada PUPR"
169,"""Kami akan menyelesaikan perbaikan itu selama seminggu dengan anggaran tidak lebih dari Rp150 juta.""",PUPR Siapkan Rp150 Juta Buat Perbaiki Stadion GBK,"""Kami akan menyelesaikan perbaikan itu selama seminggu dengan anggaran tidak lebih dari Rp150 juta."" PUPR Siapkan Rp150 Juta Buat Perbaiki Stadion GBK"
170,Ini untuk kesiapsiagaan apabila diperlukan ketika terjadi bencana alam seperti longsor.,"Antisipasi Longsor, Kementerian PUPR Taruh Alat Berat di Puncak","Ini untuk kesiapsiagaan apabila diperlukan ketika terjadi bencana alam seperti longsor. Antisipasi Longsor, Kementerian PUPR Taruh Alat Berat di Puncak"
171,"Fungsi komite itu, kata dia, sama seperti Komite Nasional Keselamatan Transportasi (KNKT).","Usai Kasus Gedung BEI Ambruk, Menteri PUPR Bentuk K3","Fungsi komite itu, kata dia, sama seperti Komite Nasional Keselamatan Transportasi (KNKT). Usai Kasus Gedung BEI Ambruk, Menteri PUPR Bentuk K3"
172,Kementerian PUPR membantu Pemerintah Kota Medan untuk membangun IPLT Kota Medan.,Menteri PUPR dan Menko PMK Resmikan Instalasi Pengolahan Lumpur,Kementerian PUPR membantu Pemerintah Kota Medan untuk membangun IPLT Kota Medan. Menteri PUPR dan Menko PMK Resmikan Instalasi Pengolahan Lumpur
173,BMKG bisa membantu Kementerian PUPR bukan hanya dalam hal pembangunan infrastrukturnya.,Menteri PUPR Gandeng BMKG untuk Bangun Infrastruktur,BMKG bisa membantu Kementerian PUPR bukan hanya dalam hal pembangunan infrastrukturnya. Menteri PUPR Gandeng BMKG untuk Bangun Infrastruktur
174,Basuki Hadimuljono mengakui bahwa infrastruktur di Indonesia masih minim.,Menteri PUPR Beberkan Sebab Minimnya Infrastruktur di Indonesia,Basuki Hadimuljono mengakui bahwa infrastruktur di Indonesia masih minim. Menteri PUPR Beberkan Sebab Minimnya Infrastruktur di Indonesia
175,Maja merupakan satu dari 10 proyek kota baru mandiri yang akan dikembangkan secara bertahap oleh pemerintah.,PUPR Tinjau Dua Perumahan Kota Baru Maja,Maja merupakan satu dari 10 proyek kota baru mandiri yang akan dikembangkan secara bertahap oleh pemerintah. PUPR Tinjau Dua Perumahan Kota Baru Maja
176,"Anggaran yang disediakan pemerintah tahun ini sekitar Rp9,7 triliun.",PUPR: Masyarakat Masih Butuh Rumah Layak Huni,"Anggaran yang disediakan pemerintah tahun ini sekitar Rp9,7 triliun. PUPR: Masyarakat Masih Butuh Rumah Layak Huni"
177,"Bila masalahnya terletak di kenyamanan, maka bisa saja mengoptimalkan yang ada seperti dengan menambah ruangan.",PUPR Beri Rekomendasi Gedung DPR Masih Layak dan Aman Dipakai,"Bila masalahnya terletak di kenyamanan, maka bisa saja mengoptimalkan yang ada seperti dengan menambah ruangan. PUPR Beri Rekomendasi Gedung DPR Masih Layak dan Aman Dipakai"
178,Basuki Hadimuljono memastikan tol Trans Jawa-Trans Sumatera bisa beroperasi penuh sebelum akhir tahun 2018.,Menteri PUPR: Jalan Tol Trans Sumatera - Jawa Beroperasi 2018,Basuki Hadimuljono memastikan tol Trans Jawa-Trans Sumatera bisa beroperasi penuh sebelum akhir tahun 2018. Menteri PUPR: Jalan Tol Trans Sumatera - Jawa Beroperasi 2018
179,"Setidaknya ada 3,4 juta rumah tidak layak huni di seluruh Indonesia.",Kementerian PUPR Usul Pembangunan Rumah Deret Sewa di Stasiun KA,"Setidaknya ada 3,4 juta rumah tidak layak huni di seluruh Indonesia. Kementerian PUPR Usul Pembangunan Rumah Deret Sewa di Stasiun KA"
180,Hanya skema SSB yang kuotanya menurun dari tahun 2017 sebesar 239 ribu unit.,PUPR Garap Ratusan Ribu Rumah Subsidi Tahun 2018,Hanya skema SSB yang kuotanya menurun dari tahun 2017 sebesar 239 ribu unit. PUPR Garap Ratusan Ribu Rumah Subsidi Tahun 2018
181,Sehingga penyaluran bantuan perumahan berjalan dengan baik.,PUPR Klaim Penyaluran Kredit Perumahan di 2017 Cukup Tinggi,Sehingga penyaluran bantuan perumahan berjalan dengan baik. PUPR Klaim Penyaluran Kredit Perumahan di 2017 Cukup Tinggi
182,"Program bantuan PSU bertujuan untuk mendukung Program Satu Juta Rumah yang dicanangkan oleh Presiden Joko Widodo, pada 29 April 2015. ",PUPR Bantu Pengadaan Prasarana dan Sarana 74.106 Unit Rumah,"Program bantuan PSU bertujuan untuk mendukung Program Satu Juta Rumah yang dicanangkan oleh Presiden Joko Widodo, pada 29 April 2015.  PUPR Bantu Pengadaan Prasarana dan Sarana 74.106 Unit Rumah"
183,"Tahun 2016, jumlah PDAM sehat sebanyak 198, tahun 2017 naik menjadi 209 PDAM.",Kementerian PUPR: Kinerja PDAM 2017 Meningkat Dibanding 2016,"Tahun 2016, jumlah PDAM sehat sebanyak 198, tahun 2017 naik menjadi 209 PDAM. Kementerian PUPR: Kinerja PDAM 2017 Meningkat Dibanding 2016"
184,Jalan tol Probolinggo-Banyuwangi ditargetkan dapat selesai dan beroperasi pada 2019.,Menteri PUPR: Investor Butuh Kepastian dan Kecepatan,Jalan tol Probolinggo-Banyuwangi ditargetkan dapat selesai dan beroperasi pada 2019. Menteri PUPR: Investor Butuh Kepastian dan Kecepatan
185,"Sebanyak 150 ton aspal dicampur 600 kg limbah plastik, yang khusus didatangkan dari Bandung.","Lagi, Kementerian PUPR Uji Coba Campuran Aspal-Limbah Plastik","Sebanyak 150 ton aspal dicampur 600 kg limbah plastik, yang khusus didatangkan dari Bandung. Lagi, Kementerian PUPR Uji Coba Campuran Aspal-Limbah Plastik"
186,Teknologi Sosrobahu menjadi jawaban atas sulitnya membangun kontruksi jalan di atas jalan yang sudah beroperasi.,"Resmikan Pier Head Sosrobahu, Menteri PUPR: Ini Kebanggaan Bangsa","Teknologi Sosrobahu menjadi jawaban atas sulitnya membangun kontruksi jalan di atas jalan yang sudah beroperasi. Resmikan Pier Head Sosrobahu, Menteri PUPR: Ini Kebanggaan Bangsa"
187,"Sekitar 50.000 m jembatan di Indonesia juga mengalami tantangan usia, sehingga perlu dilakukan rehabilitasi.",Menteri PUPR: 231 Bendungan yang Sudah Ada Perlu Pemeliharaan,"Sekitar 50.000 m jembatan di Indonesia juga mengalami tantangan usia, sehingga perlu dilakukan rehabilitasi. Menteri PUPR: 231 Bendungan yang Sudah Ada Perlu Pemeliharaan"
188,Pembangunan kedua bendungan tersebut merupakan bagian dari rencana induk pengendalian banjir Jakarta.,"Tinjau Bendungan, Menteri PUPR Minta Pengerjaan Dipercepat","Pembangunan kedua bendungan tersebut merupakan bagian dari rencana induk pengendalian banjir Jakarta. Tinjau Bendungan, Menteri PUPR Minta Pengerjaan Dipercepat"
189,"Kementerian PUPR jadi ""Kementerian/Lembaga dengan Tingkat Kepatuhan LHKPN Terbaik 2017"".","Cegah Korupsi, PUPR Ubah Mekanisme Pengadaan Barang dan Jasa","Kementerian PUPR jadi ""Kementerian/Lembaga dengan Tingkat Kepatuhan LHKPN Terbaik 2017"". Cegah Korupsi, PUPR Ubah Mekanisme Pengadaan Barang dan Jasa"
190, Jebolnya tanggul Sungai Grindulu disebabkan akibat curah hujan yang tinggi .,Kementerian PUPR Perbaiki Infrastruktur Rusak Akibat Banjir, Jebolnya tanggul Sungai Grindulu disebabkan akibat curah hujan yang tinggi . Kementerian PUPR Perbaiki Infrastruktur Rusak Akibat Banjir
191,Kementerian PUPR telah melaksanakan beberapa kali tes narkoba kepada pegawai.,Menteri PUPR: Dharma Wanita Harus Jauhkan Keluarga dari Korupsi,Kementerian PUPR telah melaksanakan beberapa kali tes narkoba kepada pegawai. Menteri PUPR: Dharma Wanita Harus Jauhkan Keluarga dari Korupsi
192,Pada 2019 ditargetkan tambahan jalan tol bisa mencapai 1.852 km.,Menteri PUPR: Kepemilikan Aset Jalan Tol Tetap Milik Pemerintah,Pada 2019 ditargetkan tambahan jalan tol bisa mencapai 1.852 km. Menteri PUPR: Kepemilikan Aset Jalan Tol Tetap Milik Pemerintah
193,"Hingga awal Desember 2017, Kementerian PUPR telah membangun 765.120 unit rumah.","PUPR: Pada 2018, Bank Dunia Bantu Pembangunan ""Rumah Swadaya""","Hingga awal Desember 2017, Kementerian PUPR telah membangun 765.120 unit rumah. PUPR: Pada 2018, Bank Dunia Bantu Pembangunan ""Rumah Swadaya"""
194,"Menurut World Economic Forum 2017-2018, aya saing infrastruktur Indonesia naik dari peringkat 60 menjadi 52.",Menteri PUPR: Pembangunan Beri Dampak Signifikan pada Dunia Usaha,"Menurut World Economic Forum 2017-2018, aya saing infrastruktur Indonesia naik dari peringkat 60 menjadi 52. Menteri PUPR: Pembangunan Beri Dampak Signifikan pada Dunia Usaha"
195,Pembangunan Jembatan Holtekamp dapat diselesaikan pada September 2018.,Menteri PUPR: Pembuatan Jembatan Bentang Panjang Tak Perlu Impor,Pembangunan Jembatan Holtekamp dapat diselesaikan pada September 2018. Menteri PUPR: Pembuatan Jembatan Bentang Panjang Tak Perlu Impor
196,Pengiriman box baja pelengkung kedua akan dilakukan pada pertengahan Desember 2017.,Menteri PUPR: Jembatan Holtekamp akan Jadi Ikon Wisata Papua,Pengiriman box baja pelengkung kedua akan dilakukan pada pertengahan Desember 2017. Menteri PUPR: Jembatan Holtekamp akan Jadi Ikon Wisata Papua
197,Bentang tengah dari struktur baja yang akan menjadi bagian utama jembatan ini dikirim dari PT PAL.,Menteri PUPR Lepas Center Span Jembatan Holtekamp ke Papua,Bentang tengah dari struktur baja yang akan menjadi bagian utama jembatan ini dikirim dari PT PAL. Menteri PUPR Lepas Center Span Jembatan Holtekamp ke Papua
198,"Total anggaran 2017 sebesar Rp105,4 triliun.","Bangun Infrastruktur, Serapan Keuangan PUPR Capai Rp75,55 T","Total anggaran 2017 sebesar Rp105,4 triliun. Bangun Infrastruktur, Serapan Keuangan PUPR Capai Rp75,55 T"
199,"Anggaran infrastruktur di Kementerian PUPR dalam 3 tahun ini sekitar Rp100 triliun, dengan porsi pinjaman sebesar 7 persen.",PUPR: 35 Ruas Tol Berhasil Tarik Dana Swasta Rp300 T,"Anggaran infrastruktur di Kementerian PUPR dalam 3 tahun ini sekitar Rp100 triliun, dengan porsi pinjaman sebesar 7 persen. PUPR: 35 Ruas Tol Berhasil Tarik Dana Swasta Rp300 T"
200,"Kementerian PUPR menyediakan hunian sementara, pembuatan sanitasi sementara, dan berbagai hal pokok lainnya.","Bantu Pengungsi Gunung Agung, PUPR Sediakan Prasarana dan Sarana","Kementerian PUPR menyediakan hunian sementara, pembuatan sanitasi sementara, dan berbagai hal pokok lainnya. Bantu Pengungsi Gunung Agung, PUPR Sediakan Prasarana dan Sarana"
201,"Secara keseluruhan, jumlah pohon yang ditanam di berbagai lokasi sungai, danau, embung dan waduk berjumlah 67.000 pohon dari berbagai jenis.","Untuk Atasi Kekeringan di NTT, PUPR Bangun 7 Bendungan","Secara keseluruhan, jumlah pohon yang ditanam di berbagai lokasi sungai, danau, embung dan waduk berjumlah 67.000 pohon dari berbagai jenis. Untuk Atasi Kekeringan di NTT, PUPR Bangun 7 Bendungan"
202,Bendungan Bintang Bano akan menjadi yang terbesar di NTB.,PUPR Bangun 3 Bendungan di NTB untuk Tingkatkan Produksi Padi,Bendungan Bintang Bano akan menjadi yang terbesar di NTB. PUPR Bangun 3 Bendungan di NTB untuk Tingkatkan Produksi Padi
203,"Pada 2018, Kementerian PUPR akan menambah ketersediaan rumah khusus sebanyak 4.550 unit.",PUPR: Hunian Masyarakat di Kawasan Pinggiran Dinilai Belum Layak,"Pada 2018, Kementerian PUPR akan menambah ketersediaan rumah khusus sebanyak 4.550 unit. PUPR: Hunian Masyarakat di Kawasan Pinggiran Dinilai Belum Layak"
204,"Total tenaga kerja konstruksi mencapai 8,2 juta orang, dimana baru 9 persen atau sekitar 700 ribu orang yang memiliki sertifikatsi keahlian. ","Menteri PUPR: yang Minta Uang dari Kontraktor, Saya Pecat!","Total tenaga kerja konstruksi mencapai 8,2 juta orang, dimana baru 9 persen atau sekitar 700 ribu orang yang memiliki sertifikatsi keahlian.  Menteri PUPR: yang Minta Uang dari Kontraktor, Saya Pecat!"
205,Jalan tol Solo-Ngawi dan Ngawi-Kertosono yang merupakan bagian dari proyek jalan tol Trans Jawa.,Menteri PUPR: Jalan Tol Solo Ngawi Siap Diresmikan 2018,Jalan tol Solo-Ngawi dan Ngawi-Kertosono yang merupakan bagian dari proyek jalan tol Trans Jawa. Menteri PUPR: Jalan Tol Solo Ngawi Siap Diresmikan 2018
206,"Para pejabat yang baru dilantik agar tetap menjaga semangat kerja dan melaksanakan amanah, ","Lantik Pejabat Baru, Menteri PUPR: Jangan Mainkan Uang Negara","Para pejabat yang baru dilantik agar tetap menjaga semangat kerja dan melaksanakan amanah,  Lantik Pejabat Baru, Menteri PUPR: Jangan Mainkan Uang Negara"
207,Maja merupakan satu dari 10 proyek kota baru mandiri yang akan dikembangkan secara bertahap oleh pemerintah.,Kementerian PUPR Dukung Maja sebagai Kota Baru Mandiri,Maja merupakan satu dari 10 proyek kota baru mandiri yang akan dikembangkan secara bertahap oleh pemerintah. Kementerian PUPR Dukung Maja sebagai Kota Baru Mandiri
208,Sejauh ini hanya didatangi warga lokal.,Taman Wisata Danau Rawa Taliwang Juga Jadi Perhatian Menteri PUPR,Sejauh ini hanya didatangi warga lokal. Taman Wisata Danau Rawa Taliwang Juga Jadi Perhatian Menteri PUPR
209,"Nantinya, kata dia setelah Bendungan Bintang Bano selesai, para petani dapat 3 kali panen dalam setahun.",Menteri PUPR: Pembangunan Bendungan Bintang Bano Sudah 50 Persen,"Nantinya, kata dia setelah Bendungan Bintang Bano selesai, para petani dapat 3 kali panen dalam setahun. Menteri PUPR: Pembangunan Bendungan Bintang Bano Sudah 50 Persen"
210,Bendungan ini paling besar di Provinsi NTB.,Menteri PUPR Basuki Tinjau Bendungan Bintang Bano di NTB,Bendungan ini paling besar di Provinsi NTB. Menteri PUPR Basuki Tinjau Bendungan Bintang Bano di NTB
211,"Program Satu Juta Rumah, yang menjadi salah satu program strategis nasional ini.","Sukseskan Program, Kementerian PUPR Lantik Dirjen Perumahan Baru","Program Satu Juta Rumah, yang menjadi salah satu program strategis nasional ini. Sukseskan Program, Kementerian PUPR Lantik Dirjen Perumahan Baru"
212,"Danau Tondano, di Kabupaten Minahasa, merupakan danau terbesar di Provinsi Sulawesi Utara.","Kembalikan Fungsi Alami, PUPR Revitalisasi Danau Tondano","Danau Tondano, di Kabupaten Minahasa, merupakan danau terbesar di Provinsi Sulawesi Utara. Kembalikan Fungsi Alami, PUPR Revitalisasi Danau Tondano"
213,"""Punya waktu satu bulan kurang. Mohon dengan bantuan itu, program dapat diselesaikan dengan baik,"" katanya.","Bangun NTT, Kementan Gandeng Kementerian PUPR dan Kemendes","""Punya waktu satu bulan kurang. Mohon dengan bantuan itu, program dapat diselesaikan dengan baik,"" katanya. Bangun NTT, Kementan Gandeng Kementerian PUPR dan Kemendes"
214,Bendungan Kuwil Kawangkoan diharapkan rampung pada Februari 2018.,Menteri PUPR Cek Pembangunan Bendungan Kuwil Kawangkoan,Bendungan Kuwil Kawangkoan diharapkan rampung pada Februari 2018. Menteri PUPR Cek Pembangunan Bendungan Kuwil Kawangkoan
215,"Dalam kurun waktu lima tahun (2015-2019), Kementerian PUPR akan membangun 64 bendungan baru.","Kerjakan Cepat Bendungan Lolak, Menteri PUPR Minta ""Safety First""","Dalam kurun waktu lima tahun (2015-2019), Kementerian PUPR akan membangun 64 bendungan baru. Kerjakan Cepat Bendungan Lolak, Menteri PUPR Minta ""Safety First"""
216,Tol Manado-Bitung menghubungkan Kota Manado ke Pelabuhan Internasional Bitung.,Menteri PUPR Instruksikan Pembangunan Tol Manado-Bitung Dikebut,Tol Manado-Bitung menghubungkan Kota Manado ke Pelabuhan Internasional Bitung. Menteri PUPR Instruksikan Pembangunan Tol Manado-Bitung Dikebut
217,"Hingga akhir 2017, Kementerian PUPR, menargetkan penyelesaian sertifikat pada 21 situ yang tersebar di Jabodetabek.",Kementerian PUPR Dukung Banyak Situ dan Danau Bersertifikat,"Hingga akhir 2017, Kementerian PUPR, menargetkan penyelesaian sertifikat pada 21 situ yang tersebar di Jabodetabek. Kementerian PUPR Dukung Banyak Situ dan Danau Bersertifikat"
218,"Pada 2020, gateball akan dipertandingkan pada Pekan Olahraga Nasional (PON).","Menteri PUPR: Kembangkan Prestasi Dayung dan ""Gateball""","Pada 2020, gateball akan dipertandingkan pada Pekan Olahraga Nasional (PON). Menteri PUPR: Kembangkan Prestasi Dayung dan ""Gateball"""
219,Target penambahan jalan baru meningkat dibandingkan dengan pembangunan tahun sebelumnya.,"Pada 2018, Ditjen Bina Marga PUPR Bangun 3.331 Km Jalan Baru","Target penambahan jalan baru meningkat dibandingkan dengan pembangunan tahun sebelumnya. Pada 2018, Ditjen Bina Marga PUPR Bangun 3.331 Km Jalan Baru"
220,"Tahapan PBJ dimulai dari perencanaan kebutuhan, pemilihan penyedia jasa, dan pelaksanaan pekerjaan.",PUPR: Kualitas Pengelolaan Pengadaan Barang dan Jasa Ditingkatkan,"Tahapan PBJ dimulai dari perencanaan kebutuhan, pemilihan penyedia jasa, dan pelaksanaan pekerjaan. PUPR: Kualitas Pengelolaan Pengadaan Barang dan Jasa Ditingkatkan"
221,"""Venue"" olahraga ini siap untuk digunakan pada ""test event"" yang akan digelar pada Februari 2018.","Menteri PUPR Hadiri ""Soft Launching"" Stadion Renang GBK","""Venue"" olahraga ini siap untuk digunakan pada ""test event"" yang akan digelar pada Februari 2018. Menteri PUPR Hadiri ""Soft Launching"" Stadion Renang GBK"
222,Konstruksi saluran air baku Karian-Serpong ditargetkan bisa dimulai pada 2018 .,Menteri PUPR Terima Kunjungan Menteri Pertanahan Korsel,Konstruksi saluran air baku Karian-Serpong ditargetkan bisa dimulai pada 2018 . Menteri PUPR Terima Kunjungan Menteri Pertanahan Korsel
223,"Saat ini, Kementerian PUPR tengah mengembangkan Kampung Wisata Cikadu.",Kementerian PUPR Kembangkan Infrastruktur Wisata Tanjung Lesung,"Saat ini, Kementerian PUPR tengah mengembangkan Kampung Wisata Cikadu. Kementerian PUPR Kembangkan Infrastruktur Wisata Tanjung Lesung"
224,Diharapkan akhir 2018 dapat beroperasi. ,Kementerian PUPR: Penyelesaian Tol Saradan-Kertosono Dipercepat,Diharapkan akhir 2018 dapat beroperasi.  Kementerian PUPR: Penyelesaian Tol Saradan-Kertosono Dipercepat
225,Bendungan kering di Ciawi dan Sukamahi merupakan yang pertama kalinya dibangun di Indonesia.,Kemen PUPR Bangun 2 Bendungan untuk Kendalikan Banjir Jakarta,Bendungan kering di Ciawi dan Sukamahi merupakan yang pertama kalinya dibangun di Indonesia. Kemen PUPR Bangun 2 Bendungan untuk Kendalikan Banjir Jakarta
226,Proses pembebasan lahan sudah mencapai 90 persen.,Kementerian PUPR: Tol Batang-Semarang Ditargetkan Beroperasi 2018,Proses pembebasan lahan sudah mencapai 90 persen. Kementerian PUPR: Tol Batang-Semarang Ditargetkan Beroperasi 2018
227,Total anggaran pembangunan 27 jembatan sebesar Rp558 miliar.,"Pada 2018, Kementerian PUPR Bangun 19 Jembatan di NTT","Total anggaran pembangunan 27 jembatan sebesar Rp558 miliar. Pada 2018, Kementerian PUPR Bangun 19 Jembatan di NTT"
228,Programnya belum ada yang terserap karena baru proses identifikasi terhadap komunitas.,Kementerian PUPR Akui Pekerja Informal Sulit Akses Rumah Subsidi,Programnya belum ada yang terserap karena baru proses identifikasi terhadap komunitas. Kementerian PUPR Akui Pekerja Informal Sulit Akses Rumah Subsidi
229,Pada arus mudik 2018 diharapkan sudah dapat dilalui.,Menteri PUPR Cek Pembangunan Tol Pemalang-Batang,Pada arus mudik 2018 diharapkan sudah dapat dilalui. Menteri PUPR Cek Pembangunan Tol Pemalang-Batang
230," Beberapa waktu lalu, Wakil Presiden RI, Jusuf Kalla telah mengunjungi RTH seluas 2,4 hektare ini.",Kementerian PUPR Bangun Ruang Terbuka Hijau Baru di Kota Makassar," Beberapa waktu lalu, Wakil Presiden RI, Jusuf Kalla telah mengunjungi RTH seluas 2,4 hektare ini. Kementerian PUPR Bangun Ruang Terbuka Hijau Baru di Kota Makassar"
231,"Pendanaan akan dilakukan bersama melalui APBN, APBD tingkat provinsi maupun kota, dan hibah dari pemerintah Australia.",Kementerian PUPR Tingkatkan Layanan Sanitasi di Palembang,"Pendanaan akan dilakukan bersama melalui APBN, APBD tingkat provinsi maupun kota, dan hibah dari pemerintah Australia. Kementerian PUPR Tingkatkan Layanan Sanitasi di Palembang"
232,Program ini untuk mendukung target pengentasan kemiskinan dan mengurangi pengangguran. ,"""Padat Karya"" Kementerian PUPR 2018 Akan Serap 263.646 Pekerja","Program ini untuk mendukung target pengentasan kemiskinan dan mengurangi pengangguran.  ""Padat Karya"" Kementerian PUPR 2018 Akan Serap 263.646 Pekerja"
233,Nilai BMN Kementerian PUPR Tahun 2016 (audited) sebesar Rp818 triliun.,"Kementerian PUPR Terima ""Barang Mliik Negara (BMN) Awards 2016""","Nilai BMN Kementerian PUPR Tahun 2016 (audited) sebesar Rp818 triliun. Kementerian PUPR Terima ""Barang Mliik Negara (BMN) Awards 2016"""
234,Satu hal penting yang dibutuhkan untuk mendorong pelaksanaan program adalah terkait perizinan dan dukungan dari pemda. ,PUPR: Kunci Keberhasilan Program Satu Juta Rumah Ada di Pemda,Satu hal penting yang dibutuhkan untuk mendorong pelaksanaan program adalah terkait perizinan dan dukungan dari pemda.  PUPR: Kunci Keberhasilan Program Satu Juta Rumah Ada di Pemda
235,Ari mengaku sudah mengirimkan teguran tertulis kepada PT. Waskita Karya selaku kontraktor.,Ini Sanksi dari Kementerian PUPR pada PT Waskita Karya,Ari mengaku sudah mengirimkan teguran tertulis kepada PT. Waskita Karya selaku kontraktor. Ini Sanksi dari Kementerian PUPR pada PT Waskita Karya
236, Jalan paralel perbatasan di Kalbar membutuhkan banyak jembatan.,Kementerian PUPR Bangun Jalan Paralel di Perbatasan Kalbar, Jalan paralel perbatasan di Kalbar membutuhkan banyak jembatan. Kementerian PUPR Bangun Jalan Paralel di Perbatasan Kalbar
237,"""Setiap tahunnya, permasalahan perkotaan selalu berkembang. """,Menteri PUPR: Untuk Menata Kota Kita Perlu Kesabaran,"""Setiap tahunnya, permasalahan perkotaan selalu berkembang. "" Menteri PUPR: Untuk Menata Kota Kita Perlu Kesabaran"
238,Urbanisasi adalah sebuah keniscayaan yang tidak bisa dihindari. ,Kementerian PUPR Menata Kawasan Permukiman Tepian Sungai Kapuas,Urbanisasi adalah sebuah keniscayaan yang tidak bisa dihindari.  Kementerian PUPR Menata Kawasan Permukiman Tepian Sungai Kapuas
239,Pemerintah perlu menjawab tantangan urbanisasi dengan memiliki rencana tata kota dan program pembiayaan perkotaan yang baik.,Kementerian PUPR Sudah Entaskan 6.763 Hektar Pemukiman Kumuh,Pemerintah perlu menjawab tantangan urbanisasi dengan memiliki rencana tata kota dan program pembiayaan perkotaan yang baik. Kementerian PUPR Sudah Entaskan 6.763 Hektar Pemukiman Kumuh
240,"Asean Games 2018 diselenggarakan pada 18 Agustus-2 September 2018 di DKI Jakarta, Sumatera Selatan, dan Jawa Barat.","Dukung Asian Games 2018, PUPR Bangun Jembatan Musi IV di Sumsel","Asean Games 2018 diselenggarakan pada 18 Agustus-2 September 2018 di DKI Jakarta, Sumatera Selatan, dan Jawa Barat. Dukung Asian Games 2018, PUPR Bangun Jembatan Musi IV di Sumsel"
241,Pendekatan yang terintegrasi dan holistik dalam perumahan akan berkontribusi dalam pengentasan kemiskinan dan peningkatan kesejahteraan.,"Rayakan Bulan Perkotaan, Kementerian PUPR Gelar Pameran Foto","Pendekatan yang terintegrasi dan holistik dalam perumahan akan berkontribusi dalam pengentasan kemiskinan dan peningkatan kesejahteraan. Rayakan Bulan Perkotaan, Kementerian PUPR Gelar Pameran Foto"
242,"Satu orang pekerja tewas dalam insiden ini, dua lainnya luka-luka dan harus dirawat.","Insiden Beton Ambruk Tewaskan Pekerja, PUPR Kirim Tim Evaluasi Proyek Tol Paspro","Satu orang pekerja tewas dalam insiden ini, dua lainnya luka-luka dan harus dirawat. Insiden Beton Ambruk Tewaskan Pekerja, PUPR Kirim Tim Evaluasi Proyek Tol Paspro"
243,"Angka capaian akses aman air minum nasional saat ini sudah mencapai 72,14 persen. ",PUPR Dukung Pontianak Capai Aman Air Minum 100% pada 2019,"Angka capaian akses aman air minum nasional saat ini sudah mencapai 72,14 persen.  PUPR Dukung Pontianak Capai Aman Air Minum 100% pada 2019"
244,Pemerintah Jepang berkomitmen untuk mendukung pendanaan tol Trans Sumatera.,Kementerian PUPR Percepat Kerja Sama Proyek dengan Jepang,Pemerintah Jepang berkomitmen untuk mendukung pendanaan tol Trans Sumatera. Kementerian PUPR Percepat Kerja Sama Proyek dengan Jepang
245,Jembatan tersebut mampu menghemat waktu tempuh perjalanan Balikpapan-Penajam hingga 2 jam.,Kementerian PUPR Bangun Jembatan Pulau Balang II di Kaltim,Jembatan tersebut mampu menghemat waktu tempuh perjalanan Balikpapan-Penajam hingga 2 jam. Kementerian PUPR Bangun Jembatan Pulau Balang II di Kaltim
246,Infrastruktur ini mendukung pengembangan pelabuhan Bungkutoko & Kendari Newport.,"Tingkatkan Pembangunan, PUPR Bangun Jembatan Teluk Kendari","Infrastruktur ini mendukung pengembangan pelabuhan Bungkutoko & Kendari Newport. Tingkatkan Pembangunan, PUPR Bangun Jembatan Teluk Kendari"
247,Campuran limbah plastik tersebut tidak boleh melebihi 6 persen.,Kementerian PUPR Lanjutkan Uji Coba Aspal Plastik di Sulsel,Campuran limbah plastik tersebut tidak boleh melebihi 6 persen. Kementerian PUPR Lanjutkan Uji Coba Aspal Plastik di Sulsel
248,Pemda harus bertanggung jawab menyediakan air minum pada warganya.,"""Hibah Air Minum"", Kementerian PUPR Tingkatkan Akses Air Bersih","Pemda harus bertanggung jawab menyediakan air minum pada warganya. ""Hibah Air Minum"", Kementerian PUPR Tingkatkan Akses Air Bersih"
249,Jalan tol ini ditargetkan dapat beroperasi seluruhnya pada 2019.,PUPR Pacu Pembangunan Jalan Tol Cisumdawu,Jalan tol ini ditargetkan dapat beroperasi seluruhnya pada 2019. PUPR Pacu Pembangunan Jalan Tol Cisumdawu
