,newsdesc,newstitle,titledesc
68,"Kementerian PUPR membangun Pos Lintas Batas Negara (PLBN) Sota yang berada di Kabupaten Merauke, Papua.","Selesai Akhir 2019, Pembangunan PLBN Sota Habiskan Biaya Rp 113,5 Miliar","Kementerian PUPR membangun Pos Lintas Batas Negara (PLBN) Sota yang berada di Kabupaten Merauke, Papua. Selesai Akhir 2019, Pembangunan PLBN Sota Habiskan Biaya Rp 113,5 Miliar"
69,"Jalan perbatasan Papua ini ditargetkan bisa tembus sepanjang 919 km pada akhir 2018, dengan jalan beraspal 747 km dan perkerasan tanah/agregat sepanjang 172 km.","Tembus 909 KM, Jalan Perbatasan di Papua Tumbuhkan Kawasan Ekonomi","Jalan perbatasan Papua ini ditargetkan bisa tembus sepanjang 919 km pada akhir 2018, dengan jalan beraspal 747 km dan perkerasan tanah/agregat sepanjang 172 km. Tembus 909 KM, Jalan Perbatasan di Papua Tumbuhkan Kawasan Ekonomi"
70,"Menteri PUPR Basuki Hadimuljono mengatakan, diperlukan pekerja konstruksi yang tangguh dalam menghadapi tantangan Revolusi Industri 4.0.","Cetak Pekerja Konstruksi Kompeten, Kementerian PUPR Buka Politeknik di 2019","Menteri PUPR Basuki Hadimuljono mengatakan, diperlukan pekerja konstruksi yang tangguh dalam menghadapi tantangan Revolusi Industri 4.0. Cetak Pekerja Konstruksi Kompeten, Kementerian PUPR Buka Politeknik di 2019"
71,Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) telah menyelesaikan pembangunan Embung Serbaguna Pea Parsinagaan.,Embung Pea Parsinagaan Mengairi Lahan Pertanian hingga Dukung Pariwisata,Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) telah menyelesaikan pembangunan Embung Serbaguna Pea Parsinagaan. Embung Pea Parsinagaan Mengairi Lahan Pertanian hingga Dukung Pariwisata
72,Kementerian PUPR membangun rusun mahasiswa sebagai tempat tinggal yang laik guna menunjang kegiatan belajar mahasiswa.,Kementerian PUPR Selesaikan Rusun Mahasiswa di Makassar,Kementerian PUPR membangun rusun mahasiswa sebagai tempat tinggal yang laik guna menunjang kegiatan belajar mahasiswa. Kementerian PUPR Selesaikan Rusun Mahasiswa di Makassar
73,"Kementerian PUPR akan membangun sebanyak 1.200 hunian sementara (huntara) di Kota Palu, Kabupaten Sigi, dan Donggala.",116 Huntara bagi Korban Gempa Sulteng Bisa Dihuni Desember 2018,"Kementerian PUPR akan membangun sebanyak 1.200 hunian sementara (huntara) di Kota Palu, Kabupaten Sigi, dan Donggala. 116 Huntara bagi Korban Gempa Sulteng Bisa Dihuni Desember 2018"
74,"Kementerian PUPR pada 2018 telah menyelesaikan pembangunan Bendung Karet Kali Perawan di Desa Kertawinangun, Kecamatan Kandanghaur.",Kementerian PUPR Bangun Bendung Karet Kali Perawan,"Kementerian PUPR pada 2018 telah menyelesaikan pembangunan Bendung Karet Kali Perawan di Desa Kertawinangun, Kecamatan Kandanghaur. Kementerian PUPR Bangun Bendung Karet Kali Perawan"
75,Kementerian PUPR terus fokus terhadap peningkatan kualitas rumah masyarakat berpenghasilan rendah (MBR) di seluruh Indonesia.,Kementerian PUPR Perbaiki 153 Rumah di Jombang,Kementerian PUPR terus fokus terhadap peningkatan kualitas rumah masyarakat berpenghasilan rendah (MBR) di seluruh Indonesia. Kementerian PUPR Perbaiki 153 Rumah di Jombang
76,"Memasuki musim hujan, Kepala Balai tidak boleh meninggalkan wilayah tugas tanpa seizin Menteri PUPR Basuki Hadimuljono.",Kementerian PUPR Telah Rehabilitasi Sungai Kritis Sepanjang 30 Km,"Memasuki musim hujan, Kepala Balai tidak boleh meninggalkan wilayah tugas tanpa seizin Menteri PUPR Basuki Hadimuljono. Kementerian PUPR Telah Rehabilitasi Sungai Kritis Sepanjang 30 Km"
77,Jembatan Cipatujah mengalami kerusakan akibat hujan lebat dan debit banjir Sungai Ciandum Cipatujah yang tinggi.,"Putus Akibat Hujan Lebat, Jembatan Cipatujah Segera Diperbaiki","Jembatan Cipatujah mengalami kerusakan akibat hujan lebat dan debit banjir Sungai Ciandum Cipatujah yang tinggi. Putus Akibat Hujan Lebat, Jembatan Cipatujah Segera Diperbaiki"
78,Kementerian PUPR akan memulai proses lelang dini pada November 2018.,"Kementerian PUPR Lelang Dini 3.926 Paket Senilai Rp 32,6 Triliun","Kementerian PUPR akan memulai proses lelang dini pada November 2018. Kementerian PUPR Lelang Dini 3.926 Paket Senilai Rp 32,6 Triliun"
79,"Berdasarkan catatan Kementerian PUPR, dari total pagu anggaran 2018 senilai Rp 114,33 triliun, total realisasi tercapai ialah sebesar Rp 72,56 triliun.",Kementerian PUPR Targetkan Serapan Anggaran Capai 93 Persen pada Akhir 2018,"Berdasarkan catatan Kementerian PUPR, dari total pagu anggaran 2018 senilai Rp 114,33 triliun, total realisasi tercapai ialah sebesar Rp 72,56 triliun. Kementerian PUPR Targetkan Serapan Anggaran Capai 93 Persen pada Akhir 2018"
80,Kementerian PUPR  telah menyelesaikan pembangunan Rusun Santri Darul Hufadz yang bertempat di Kabupaten Pesawaran yang terdiri 1 tower setinggi 2 lantai.,2 Tower Rusun Mahasiswa di Banjarmasin Rampung Akhir 2018,Kementerian PUPR  telah menyelesaikan pembangunan Rusun Santri Darul Hufadz yang bertempat di Kabupaten Pesawaran yang terdiri 1 tower setinggi 2 lantai. 2 Tower Rusun Mahasiswa di Banjarmasin Rampung Akhir 2018
81,Kementerian PUPR membangun jalan tembus Ibun-Kamojang yang menghubungkan Kabupaten Bandung dan Garut.,Kementerian PUPR Bangun Jalan Alternatif Mudik di Jalur Selatan Jabar,Kementerian PUPR membangun jalan tembus Ibun-Kamojang yang menghubungkan Kabupaten Bandung dan Garut. Kementerian PUPR Bangun Jalan Alternatif Mudik di Jalur Selatan Jabar
82,Kementerian Pekerjaan Umum dan Perumahan Rakyat (Kementerian PUPR) melakukan pemeringkatan jalan hijau.,Upaya Kementerian PUPR Genjot Pembangunan Berkelanjutan,Kementerian Pekerjaan Umum dan Perumahan Rakyat (Kementerian PUPR) melakukan pemeringkatan jalan hijau. Upaya Kementerian PUPR Genjot Pembangunan Berkelanjutan
83,Kementerian PUPR diharapkan pembangunan infrastruktur dirasakan langsung manfaat ekonomi dan sosial secara merata di seluruh Indonesia.,Menteri PUPR: Bangun Infrastruktur untuk Penuhi Kebutuhan Masyarakat,Kementerian PUPR diharapkan pembangunan infrastruktur dirasakan langsung manfaat ekonomi dan sosial secara merata di seluruh Indonesia. Menteri PUPR: Bangun Infrastruktur untuk Penuhi Kebutuhan Masyarakat
84,Kementerian PUPR bersama Pemerintah Daerah terus meningkatkan akses air bersih dan sanitasi kepada masyarakat.,"2019, Kementerian PUPR Alokasikan Rp 850 Miliar untuk Hibah Air Minum","Kementerian PUPR bersama Pemerintah Daerah terus meningkatkan akses air bersih dan sanitasi kepada masyarakat. 2019, Kementerian PUPR Alokasikan Rp 850 Miliar untuk Hibah Air Minum"
85,Peningkatan kualitas manajemen keselamatan konstruksi menjadi hal penting yang perlu diperhatikan.,Jurus Kementerian PUPR Jaga Keselamatan pada Proyek Konstruksi,Peningkatan kualitas manajemen keselamatan konstruksi menjadi hal penting yang perlu diperhatikan. Jurus Kementerian PUPR Jaga Keselamatan pada Proyek Konstruksi
86,"Adapun puncak musim hujan diperkirakan akan datang pada awal tahun mendatang, tepatnya antara Januari dan Februari 2019.","Hadapi Awal Musim Hujan, Kementerian PUPR Siaga Banjir","Adapun puncak musim hujan diperkirakan akan datang pada awal tahun mendatang, tepatnya antara Januari dan Februari 2019. Hadapi Awal Musim Hujan, Kementerian PUPR Siaga Banjir"
87,"Jumlah tenaga kerja konstruksi yang memiliki sertifikat terhitung baru sekitar 500 ribu dari total 8,1 juta tenaga kerja konstruksi",Kementerian PUPR Percepat Sertifikasi Tenaga Konstruksi pada 2019,"Jumlah tenaga kerja konstruksi yang memiliki sertifikat terhitung baru sekitar 500 ribu dari total 8,1 juta tenaga kerja konstruksi Kementerian PUPR Percepat Sertifikasi Tenaga Konstruksi pada 2019"
88,"Dalam proses lelang harus ada peningkatan pemanfaatan Teknologi Informasi, penyederhanaan regulasi, dan peningkatan penggunaan Produk Dalam Negeri (TKDN).",Kementerian PUPR Lelang Dini 3 Ribu Proyek Tahun Anggaran 2019,"Dalam proses lelang harus ada peningkatan pemanfaatan Teknologi Informasi, penyederhanaan regulasi, dan peningkatan penggunaan Produk Dalam Negeri (TKDN). Kementerian PUPR Lelang Dini 3 Ribu Proyek Tahun Anggaran 2019"
89,"Dari Rp 110,7 triliun anggaran untuk infrastruktur, sebesar 84,6 persen merupakan belanja modal dan belanja barang berkarakter modal.",Kementerian PUPR Siapkan Rp 110 Triliun Buat Bangun Infrastruktur di 2019,"Dari Rp 110,7 triliun anggaran untuk infrastruktur, sebesar 84,6 persen merupakan belanja modal dan belanja barang berkarakter modal. Kementerian PUPR Siapkan Rp 110 Triliun Buat Bangun Infrastruktur di 2019"
90,"Adapun dari 65 bendungan yang dibangun Kementerian PUPR pada periode 2015-2019, sebanyak 31 bendungan berada di Kawasan Timur Indonesia.","Dalam 4 Tahun, Pemerintah Telah Bangun 43 Bendungan","Adapun dari 65 bendungan yang dibangun Kementerian PUPR pada periode 2015-2019, sebanyak 31 bendungan berada di Kawasan Timur Indonesia. Dalam 4 Tahun, Pemerintah Telah Bangun 43 Bendungan"
91,Huntara digunakan sebagai transit pengungsi dari tenda sampai dengan hunian tetap dan relokasi permukiman selesai.,Korban Gempa Sulteng Bisa Huni 1.200 Hunian Sementara di Desember 2018,Huntara digunakan sebagai transit pengungsi dari tenda sampai dengan hunian tetap dan relokasi permukiman selesai. Korban Gempa Sulteng Bisa Huni 1.200 Hunian Sementara di Desember 2018
92,Kementerian PUPR menargetkan sebanyak 212 ribu orang tenaga kontruksi mendapat pembinaan dan pelatihan guna menjadi tenaga terampil.,Tenaga Konstruksi RI yang Bersertifikat Baru 5 Persen,Kementerian PUPR menargetkan sebanyak 212 ribu orang tenaga kontruksi mendapat pembinaan dan pelatihan guna menjadi tenaga terampil. Tenaga Konstruksi RI yang Bersertifikat Baru 5 Persen
93,Pembangunan jembatan yang merupakan ikon Kota Palu itu akan diawali dengan penyelidikan teknik dan geologi untuk mengetahui tingkat keamanan terhadap risiko gempa.,Pembangunan Jembatan Kuning di Palu Butuh Waktu Setahun,Pembangunan jembatan yang merupakan ikon Kota Palu itu akan diawali dengan penyelidikan teknik dan geologi untuk mengetahui tingkat keamanan terhadap risiko gempa. Pembangunan Jembatan Kuning di Palu Butuh Waktu Setahun
94,Kementerian PUPR membangun 27 Rusun Pondok Pesantren (Ponpes) di Jawa Barat sebagai hunian santri selama menuntut ilmu.,Kementerian PUPR Bangun 27 Rusun Ponpes di Jawa Barat,Kementerian PUPR membangun 27 Rusun Pondok Pesantren (Ponpes) di Jawa Barat sebagai hunian santri selama menuntut ilmu. Kementerian PUPR Bangun 27 Rusun Ponpes di Jawa Barat
95,Kehadiran jembatan gantung juga akan memperkuat wilayah pedesaan maupun kawasan terpencil yang dipisahkan kondisi alam.,134 Jembatan Gantung Dibangun untuk Genjot Ekonomi Desa,Kehadiran jembatan gantung juga akan memperkuat wilayah pedesaan maupun kawasan terpencil yang dipisahkan kondisi alam. 134 Jembatan Gantung Dibangun untuk Genjot Ekonomi Desa
96,"Kementerian PUPR menyatakan, jika memang benar ditemukan pelanggaran dalam proyek ini, pemberian sanksi akan mengikuti aturan.",Pengembang Meikarta Bakal Dapat Sanksi Jika Langgar Aturan Ini,"Kementerian PUPR menyatakan, jika memang benar ditemukan pelanggaran dalam proyek ini, pemberian sanksi akan mengikuti aturan. Pengembang Meikarta Bakal Dapat Sanksi Jika Langgar Aturan Ini"
97,"Pemerintah gencar dalam membangun infrastruktur di daerah perbatasan, khususnya di wilayah timur Indonesia.",Proyek Infrastruktur di Indonesia Timur Kini Jadi Lokasi Wisata Baru,"Pemerintah gencar dalam membangun infrastruktur di daerah perbatasan, khususnya di wilayah timur Indonesia. Proyek Infrastruktur di Indonesia Timur Kini Jadi Lokasi Wisata Baru"
98,Kementerian PUPR ajak UMKM dalam proses rekonstruksi rumah warga yang menjadi korban gempa Lombok.,UMKM Lokal Ikut Rekonstruksi Rumah Korban Gempa Lombok,Kementerian PUPR ajak UMKM dalam proses rekonstruksi rumah warga yang menjadi korban gempa Lombok. UMKM Lokal Ikut Rekonstruksi Rumah Korban Gempa Lombok
99,"Kementerian PUPR tengah membangun tanggul laut sepanjang 4,5 kilometer.",Kementerian PUPR Ajak China Bangun 4 Bendungan,"Kementerian PUPR tengah membangun tanggul laut sepanjang 4,5 kilometer. Kementerian PUPR Ajak China Bangun 4 Bendungan"
100,Terbangunnya duplikasi Jembatan Surabaya juga menjadi jalan pintas dari Lombok Timur ke Lombok Tengah.,"Usai Gempa, Pembangunan Jembatan Penghubung Praya-Mataram Dilanjutkan","Terbangunnya duplikasi Jembatan Surabaya juga menjadi jalan pintas dari Lombok Timur ke Lombok Tengah. Usai Gempa, Pembangunan Jembatan Penghubung Praya-Mataram Dilanjutkan"
101,"Kementerian PUPR menyerahkan 741 aset senilai Rp 1,86 triliun kepada 224 penerima.","Kementerian PUPR Hibahkan Aset Rp 1,86 Triliun kepada Pemda","Kementerian PUPR menyerahkan 741 aset senilai Rp 1,86 triliun kepada 224 penerima. Kementerian PUPR Hibahkan Aset Rp 1,86 Triliun kepada Pemda"
102,Sebanyak 1.200 unit hunian sementara dapat menampung 14.400 keluarga korban gempa di Sulteng.,1.200 Rumah Sementara Korban Gempa Sulteng Dibangun Pekan Ini,Sebanyak 1.200 unit hunian sementara dapat menampung 14.400 keluarga korban gempa di Sulteng. 1.200 Rumah Sementara Korban Gempa Sulteng Dibangun Pekan Ini
103,Pemerintah kini tengah mendorong pemakaian material baja dibanding beton pada proyek jalan tol layang.,Pemerintah Dorong Pemakaian Baja untuk Proyek Tol Layang,Pemerintah kini tengah mendorong pemakaian material baja dibanding beton pada proyek jalan tol layang. Pemerintah Dorong Pemakaian Baja untuk Proyek Tol Layang
104,"Baja ringan sendiri memiliki banyak kelebihan, seperti bobotnya yang lebih ringan, anti rayap, tahan cuaca panas atau dingin.",Menteri PUPR Dorong Pemakaian Baja Lokal Untuk Proyek Infrastruktur,"Baja ringan sendiri memiliki banyak kelebihan, seperti bobotnya yang lebih ringan, anti rayap, tahan cuaca panas atau dingin. Menteri PUPR Dorong Pemakaian Baja Lokal Untuk Proyek Infrastruktur"
105,"Biaya TPA Rawa Kucing untuk membangun areal seluas 35 hektar menggunakan APBN Rp 82,73 miliar.",TPA Rawa Kucing Bakal Disulap Jadi Tempat Wisata Edukasi,"Biaya TPA Rawa Kucing untuk membangun areal seluas 35 hektar menggunakan APBN Rp 82,73 miliar. TPA Rawa Kucing Bakal Disulap Jadi Tempat Wisata Edukasi"
106,Sebanyak 45 hidran umum berkapasitas 2 ribu liter telah didistribusikan dan digunakan sebagai penampungan air bersih di lokasi-lokasi pengungsian di Palu.,Kementerian PUPR Terus Distribusikan Air Bersih ke Sulteng,Sebanyak 45 hidran umum berkapasitas 2 ribu liter telah didistribusikan dan digunakan sebagai penampungan air bersih di lokasi-lokasi pengungsian di Palu. Kementerian PUPR Terus Distribusikan Air Bersih ke Sulteng
107,"Dalam tiga tahun terakhir (2015-2017), panjang ruas-ruas tol baru di Indonesia bertambah 332 Km.",13 Ruas Tol Baru Siap Beroperasi pada Oktober–Desember 2018,"Dalam tiga tahun terakhir (2015-2017), panjang ruas-ruas tol baru di Indonesia bertambah 332 Km. 13 Ruas Tol Baru Siap Beroperasi pada Oktober–Desember 2018"
108,Kementerian PUPR menyatakan infrastruktur menjadi kunci bangun Bali baru. Salah satu contoh pengembangan Nusa Dua di Bali.,Nusa Dua Bisa Jadi Contoh Kawasan Wisata Terpadu di RI,Kementerian PUPR menyatakan infrastruktur menjadi kunci bangun Bali baru. Salah satu contoh pengembangan Nusa Dua di Bali. Nusa Dua Bisa Jadi Contoh Kawasan Wisata Terpadu di RI
109,Kementerian PUPR menyelenggarakan kegiatan fasilitasi peningkatan kapasitas bagi warga binaan pemasyarakatan di bidang jasa konstruksi.,Kementerian PUPR Latih 2.033 Narapidana Jadi Pekerja Sektor Konstruksi,Kementerian PUPR menyelenggarakan kegiatan fasilitasi peningkatan kapasitas bagi warga binaan pemasyarakatan di bidang jasa konstruksi. Kementerian PUPR Latih 2.033 Narapidana Jadi Pekerja Sektor Konstruksi
110,"Anggaran yang dialokasikan di Kementerian PUPR dalam empat tahun terakhir rata-rata Rp 105 triliun, sementara kebutuhannya lebih besar.",Swasta Berminat Biayai Proyek Infrastruktur Kementerian PUPR,"Anggaran yang dialokasikan di Kementerian PUPR dalam empat tahun terakhir rata-rata Rp 105 triliun, sementara kebutuhannya lebih besar. Swasta Berminat Biayai Proyek Infrastruktur Kementerian PUPR"
111,Program pemeliharaan jalan nasional dengan skema availability payment akan mulai 2019.,Pembiayaan Pemeliharaan Jalan Nasional Bakal Pakai Skema Cicilan,Program pemeliharaan jalan nasional dengan skema availability payment akan mulai 2019. Pembiayaan Pemeliharaan Jalan Nasional Bakal Pakai Skema Cicilan
112,Kementerian PUPR siapkan berbagai fasilitas seperti 22 Hidran Umum untuk menunjang kebutuhan warga kota Palu dan Donggala.,22 Hidran Umum Siap Penuhi Kebutuhan Air Bersih Korban Gempa,Kementerian PUPR siapkan berbagai fasilitas seperti 22 Hidran Umum untuk menunjang kebutuhan warga kota Palu dan Donggala. 22 Hidran Umum Siap Penuhi Kebutuhan Air Bersih Korban Gempa
113,Bendungan Nipah dan Bajulmati di Jatim selesai dibangun dan memberi akses pariwisata.,2 Bendungan Baru di Jawa Timur Bisa Tarik Wisatawan,Bendungan Nipah dan Bajulmati di Jatim selesai dibangun dan memberi akses pariwisata. 2 Bendungan Baru di Jawa Timur Bisa Tarik Wisatawan
114,"Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) akan membangun hunian sementara bagi para warga Baloroa dan Petobo, Sulawesi Tengah.",Pemerintah Bangun Hunian Sementara untuk Korban Gempa di Petobo dan Balaroa,"Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) akan membangun hunian sementara bagi para warga Baloroa dan Petobo, Sulawesi Tengah. Pemerintah Bangun Hunian Sementara untuk Korban Gempa di Petobo dan Balaroa"
115,"Untuk menghasilkan SDM konstruksi berkualitas, tiada cara lain kecuali melalui proses sertifikasi kompetensi.",Kementerian PUPR Sertifikasi 7.687 Tenaga Kerja Konstruksi,"Untuk menghasilkan SDM konstruksi berkualitas, tiada cara lain kecuali melalui proses sertifikasi kompetensi. Kementerian PUPR Sertifikasi 7.687 Tenaga Kerja Konstruksi"
116,Sejumlah kontraktor asing di Indonesia terpaksa gulung tikar karena tidak kedapatan lahan pekerjaan.,"Kalah dari Lokal, Kontraktor Asing Terpaksa Gulung Tikar","Sejumlah kontraktor asing di Indonesia terpaksa gulung tikar karena tidak kedapatan lahan pekerjaan. Kalah dari Lokal, Kontraktor Asing Terpaksa Gulung Tikar"
117,Pemerintah akan bayar kontraktor non BUMN yang mau ikut serta pembangunan di Palu.,Kementerian PUPR Ajak Kontraktor Swasta Benahi Infrastruktur di Palu,Pemerintah akan bayar kontraktor non BUMN yang mau ikut serta pembangunan di Palu. Kementerian PUPR Ajak Kontraktor Swasta Benahi Infrastruktur di Palu
118,Kementerian PUPR telah lakukan empat kegiatan untuk membantu masyarakat Palu pasca-terkena gempa.,"Usai Gempa Palu-Donggala, Ini 4 Langkah Kementerian PUPR Bantu Warga","Kementerian PUPR telah lakukan empat kegiatan untuk membantu masyarakat Palu pasca-terkena gempa. Usai Gempa Palu-Donggala, Ini 4 Langkah Kementerian PUPR Bantu Warga"
119,Menteri PUPR Basuki Hadimuljono memfokuskan empat hal untuk langkah tanggap darurat imbas gempa Palu dan Donggala.,Upaya Kementerian PUPR Percepat Penanganan Gempa Palu dan Donggala,Menteri PUPR Basuki Hadimuljono memfokuskan empat hal untuk langkah tanggap darurat imbas gempa Palu dan Donggala. Upaya Kementerian PUPR Percepat Penanganan Gempa Palu dan Donggala
120,"Perumahan Masyarakat Berpenghasilan Rendah (MBR) Kelapa Gading di Kabupaten Sigi, Sulawesi Tengah, tidak mengalami kerusakan signifikan.",Begini Kondisi Rumah MBR di Sulawesi Tengah,"Perumahan Masyarakat Berpenghasilan Rendah (MBR) Kelapa Gading di Kabupaten Sigi, Sulawesi Tengah, tidak mengalami kerusakan signifikan. Begini Kondisi Rumah MBR di Sulawesi Tengah"
121,Kementerian PUPR kirimkan peralatan air bersih dan sanitasi serta tambahan alat berat untuk bantu penanganan tanggap darurat di Donggala dan Palu.,Kementerian PUPR Kerahkan Bantuan Alat Berat Tangani Gempa Palu dan Donggala,Kementerian PUPR kirimkan peralatan air bersih dan sanitasi serta tambahan alat berat untuk bantu penanganan tanggap darurat di Donggala dan Palu. Kementerian PUPR Kerahkan Bantuan Alat Berat Tangani Gempa Palu dan Donggala
122,Teknologi karet di sungai Kanal Banjir Barat (KBB) didatangkan langsung dari Amerika Serikat.,"Atasi Rob Semarang, Bendung Karet Kanal Barat Ditargetkan Rampung Januari 2019","Teknologi karet di sungai Kanal Banjir Barat (KBB) didatangkan langsung dari Amerika Serikat. Atasi Rob Semarang, Bendung Karet Kanal Barat Ditargetkan Rampung Januari 2019"
123,"Sukses membangun  Grand Mosque, Wika harus bersiap untuk proyek yang lebih besar selanjutnya.",BUMN Bakal Garap Proyek Infrastruktur di Aljazair,"Sukses membangun  Grand Mosque, Wika harus bersiap untuk proyek yang lebih besar selanjutnya. BUMN Bakal Garap Proyek Infrastruktur di Aljazair"
124,"Dalam kunjungan kerjanya ke Spanyol, Menteri PUPR Basuki Hadimuljono tak lupa turut mempromosikan peluang investasi di Indonesia ke para pengusaha dari Negeri Matador.",Menteri PUPR Tawarkan Peluang Investasi di RI ke Pengusaha Spanyol,"Dalam kunjungan kerjanya ke Spanyol, Menteri PUPR Basuki Hadimuljono tak lupa turut mempromosikan peluang investasi di Indonesia ke para pengusaha dari Negeri Matador. Menteri PUPR Tawarkan Peluang Investasi di RI ke Pengusaha Spanyol"
125,Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) memperkuat kerjasama dengan Korea Selatan terkait pengelolaan sumber daya air.,"Bangun Bendungan Karian, RI Dapat Pinjaman dari Korsel","Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) memperkuat kerjasama dengan Korea Selatan terkait pengelolaan sumber daya air. Bangun Bendungan Karian, RI Dapat Pinjaman dari Korsel"
126,Direktur Jenderal Sumber Daya Air Kementerian PUPR lakukan berbagai upaya untuk mengatasi permasalahan kebutuhan air nasional.,Upaya Dirjen SDA Atasi Permasalahan Kebutuhan Air Nasional,Direktur Jenderal Sumber Daya Air Kementerian PUPR lakukan berbagai upaya untuk mengatasi permasalahan kebutuhan air nasional. Upaya Dirjen SDA Atasi Permasalahan Kebutuhan Air Nasional
127,KemenPUPR tingkatkan konektivitas menuju akses Danau Toba lewat jalur udara dan darat. Mereka juga melakukan penataan kawasan.,KemenPUPR Fokus Lakukan Penataan Kawasan Destinasi Danau Toba,KemenPUPR tingkatkan konektivitas menuju akses Danau Toba lewat jalur udara dan darat. Mereka juga melakukan penataan kawasan. KemenPUPR Fokus Lakukan Penataan Kawasan Destinasi Danau Toba
128,Kementerian PUPR terus mendorong inovasi teknologi terowongan yang dinilai sangat dibutuhkan Indonesia.,Kementerian PUPR Tingkatkan Inovasi Teknologi Pembangunan Terowongan,Kementerian PUPR terus mendorong inovasi teknologi terowongan yang dinilai sangat dibutuhkan Indonesia. Kementerian PUPR Tingkatkan Inovasi Teknologi Pembangunan Terowongan
129,Kementerian PUPR dukung disrupsi teknologi di sektor perumahan dalam rangka meningkatkan pelayanan sektor perumahan,Kementerian PUPR Dukung Disrupsi Teknologi untuk Tekan Harga Rumah,Kementerian PUPR dukung disrupsi teknologi di sektor perumahan dalam rangka meningkatkan pelayanan sektor perumahan Kementerian PUPR Dukung Disrupsi Teknologi untuk Tekan Harga Rumah
130,"Salah satu bagian jaringan jalan Tol JORR 2 yakni Tol Kunciran–Serpong sepanjang 11,14 km saat ini progresnya sudah mencapai 66 persen.","Selesai 2019, Tol JORR 2 Bisa Turunkan Biaya Logistik","Salah satu bagian jaringan jalan Tol JORR 2 yakni Tol Kunciran–Serpong sepanjang 11,14 km saat ini progresnya sudah mencapai 66 persen. Selesai 2019, Tol JORR 2 Bisa Turunkan Biaya Logistik"
131,"Underpass Simpang Tugu Ngurah Rai memiliki panjang 712 meter, lebar 16 meter, dan tinggi 5,2 meter.",Underpass Simpang Tugu Ngurah Rai Bakal Diresmikan Jokowi Akhir September,"Underpass Simpang Tugu Ngurah Rai memiliki panjang 712 meter, lebar 16 meter, dan tinggi 5,2 meter. Underpass Simpang Tugu Ngurah Rai Bakal Diresmikan Jokowi Akhir September"
132,Perkembangan pembangunan Tol Depok-Antasari (Desari) Seksi I Antasari-Brigif kini telah mencapai 100 persen.,Perkembangan Tol Depok-Antasari Tunggu Uji Laik Operasi,Perkembangan pembangunan Tol Depok-Antasari (Desari) Seksi I Antasari-Brigif kini telah mencapai 100 persen. Perkembangan Tol Depok-Antasari Tunggu Uji Laik Operasi
133,Kementerian PUPR menyatakan hanya tiga persen tanah saja yang masih belum terbebas pembebasan lahan.,Pembayaran Pembebasan Lahan di Tol Kunciran-Serpong Selesai Oktober,Kementerian PUPR menyatakan hanya tiga persen tanah saja yang masih belum terbebas pembebasan lahan. Pembayaran Pembebasan Lahan di Tol Kunciran-Serpong Selesai Oktober
134,Proyek pembangunan jalan tol Kunciran-Serpong ditargetkan rampung pada April 2019.,"Perkembangan Pembangunan Tol Kunciran-Serpong Capai 66,43 Persen","Proyek pembangunan jalan tol Kunciran-Serpong ditargetkan rampung pada April 2019. Perkembangan Pembangunan Tol Kunciran-Serpong Capai 66,43 Persen"
135,"Sesuai dengan ketentuan perundang-undangan, rusun ini hanya akan bersifat sewa, bukan milik.",Pemerintah Bakal Ubah Wisma Atlet Jadi Rusunawa,"Sesuai dengan ketentuan perundang-undangan, rusun ini hanya akan bersifat sewa, bukan milik. Pemerintah Bakal Ubah Wisma Atlet Jadi Rusunawa"
136,Kementerian PUPR telah mengerahkan 400 insinyur muda CPNS PUPR untuk membantu pendampingan rekonstruksi rumah.,Warga Bantu Percepat Rekonstruksi Rumah Korban Gempa Lombok,Kementerian PUPR telah mengerahkan 400 insinyur muda CPNS PUPR untuk membantu pendampingan rekonstruksi rumah. Warga Bantu Percepat Rekonstruksi Rumah Korban Gempa Lombok
137,Indonesia telah sukses menjadi tuan rumah yang mampu menjamu para kontingen dari berbagai negara Asia dengan baik.,Kementerian PUPR Beri Apresiasi Pendukung Asian Games 2018,Indonesia telah sukses menjadi tuan rumah yang mampu menjamu para kontingen dari berbagai negara Asia dengan baik. Kementerian PUPR Beri Apresiasi Pendukung Asian Games 2018
138,Untuk pembangunan perumahan di Lombok konsepnya swakelola dengan Rekonstruksi Masyarakat dan Permukiman Berbasis Komunitas (Rekompak).,"Tanpa Kontraktor, Kementerian PUPR Kebut Bangun Rumah di Lombok","Untuk pembangunan perumahan di Lombok konsepnya swakelola dengan Rekonstruksi Masyarakat dan Permukiman Berbasis Komunitas (Rekompak). Tanpa Kontraktor, Kementerian PUPR Kebut Bangun Rumah di Lombok"
139,Kementerian PUPR terus melanjutkan pembangunan infrastruktur di kawasan perbatasan di Kalimantan.,Begini Pembangunan Infrastruktur di Jalan Perbatasan RI-Malaysia,Kementerian PUPR terus melanjutkan pembangunan infrastruktur di kawasan perbatasan di Kalimantan. Begini Pembangunan Infrastruktur di Jalan Perbatasan RI-Malaysia
